question_id,db_id,question,experiment_mode,predicted_JOIN,predicted_GROUP_BY,predicted_HAVING,guidance_applied,gold_sql,generated_sql,experiment_status,api_error,execution_status,execution_accuracy,exact_match,ground_truth_rows,generated_result_rows,total_time,llm_requests,input_tokens,output_tokens,spark_error
49,california_schools,Which different county has the most number of closed schools? Please provide the name of each school as well as the closure date.,baseline,True,True,False,False,"SELECT DISTINCT County, School, ClosedDate FROM schools WHERE County = ( SELECT County FROM schools WHERE StatusType = 'Closed' GROUP BY County ORDER BY COUNT(School) DESC LIMIT 1 ) AND StatusType = 'Closed' AND school IS NOT NULL","SELECT County, School, ClosedDate FROM schools WHERE StatusType = 'Closed' AND County = (SELECT County FROM schools WHERE StatusType = 'Closed' GROUP BY County ORDER BY COUNT(*) DESC LIMIT 1)",COMPLETED,,VALID,0.0,0.0,858,879.0,79.7409887314,6,5929,496,
68,california_schools,Which county reported the most number of school closure in the 1980s with school wonership code belonging to Youth Authority Facilities (CEA)?,baseline,True,True,False,False,"SELECT County FROM schools WHERE strftime('%Y', ClosedDate) BETWEEN '1980' AND '1989' AND StatusType = 'Closed' AND SOC = 11 GROUP BY County ORDER BY COUNT(School) DESC LIMIT 1","SELECT County, COUNT(*) AS closure_count FROM schools WHERE SOC = '11' AND ClosedDate BETWEEN '1980-01-01' AND '1989-12-31' GROUP BY County ORDER BY closure_count DESC",COMPLETED,,VALID,0.0,0.0,1,3.0,274.9938323498,21,24213,1120,
78,california_schools,What is the most common type of grade span served in the city of Adelanto?,baseline,True,True,False,False,SELECT GSserved FROM schools WHERE City = 'Adelanto' GROUP BY GSserved ORDER BY COUNT(GSserved) DESC LIMIT 1,"SELECT GSserved, COUNT(*) as cnt FROM schools WHERE City = 'Adelanto' GROUP BY GSserved ORDER BY cnt DESC LIMIT 1",COMPLETED,,VALID,1.0,0.0,1,1.0,77.2543857098,6,4208,191,
231,toxicology,Which bond type accounted for the majority of the bonds found in molecule TR010 and state whether or not this molecule is carcinogenic?,baseline,False,True,False,False,"SELECT T.bond_type FROM ( SELECT T1.bond_type, COUNT(T1.molecule_id) FROM bond AS T1  WHERE T1.molecule_id = 'TR010' GROUP BY T1.bond_type ORDER BY COUNT(T1.molecule_id) DESC LIMIT 1 ) AS T",SELECT DISTINCT label FROM molecule,COMPLETED,,VALID,0.0,0.0,1,2.0,168.9211888313,13,10020,568,
1402,student_club,What is the most popular size of t-shirt ordered by the club members?,baseline,False,False,False,False,SELECT t_shirt_size FROM member GROUP BY t_shirt_size ORDER BY COUNT(t_shirt_size) DESC LIMIT 1,"SELECT t_shirt_size, COUNT(*) AS count FROM member WHERE t_shirt_size IS NOT NULL GROUP BY t_shirt_size ORDER BY count DESC LIMIT 1",COMPLETED,,VALID,1.0,0.0,1,1.0,76.7744224072,6,3801,207,
1444,student_club,List the expenses that spend more than fifty dollars on average.,baseline,False,False,True,False,SELECT expense_description FROM expense GROUP BY expense_description HAVING AVG(cost) > 50,SELECT expense_description FROM expense GROUP BY expense_description HAVING AVG(cost) > 50,COMPLETED,,VALID,1.0,1.0,7,7.0,77.3688080311,6,3706,184,
230,toxicology,What are the elements of the toxicology and label of molecule TR060?,baseline,True,False,False,False,"SELECT DISTINCT T1.element, T2.label FROM atom AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.molecule_id = 'TR060'","SELECT DISTINCT a.element, m.label FROM molecule m JOIN atom a ON m.molecule_id = a.molecule_id WHERE m.molecule_id = 'TR060'",COMPLETED,,VALID,1.0,0.0,5,5.0,182.0618672371,14,13337,511,
277,toxicology,What are the toxicology elements associated with bond ID TR000_1_2?,baseline,True,False,False,False,SELECT T1.element FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id WHERE T2.bond_id = 'TR000_1_2',"SELECT a1.element, a2.element FROM bond b JOIN connected c ON b.bond_id = c.bond_id JOIN atom a1 ON c.atom_id = a1.atom_id JOIN atom a2 ON c.atom_id2 = a2.atom_id WHERE b.bond_id = 'TR000_1_2'",COMPLETED,,VALID,1.0,0.0,2,2.0,102.8302674294,8,5804,378,
729,superhero,What is the average height of the superheroes from Marvel Comics?,baseline,False,False,False,False,SELECT AVG(T1.height_cm) FROM superhero AS T1 INNER JOIN publisher AS T2 ON T1.publisher_id = T2.id WHERE T2.publisher_name = 'Marvel Comics',SELECT AVG(s.height_cm) FROM superhero s JOIN publisher p ON s.publisher_id = p.id WHERE p.publisher_name = 'Marvel Comics',COMPLETED,,VALID,1.0,0.0,1,1.0,76.9042954445,6,3935,206,
1167,thrombosis_prediction,"For the year that concluded on December 31, 1998, how many male patients on average were tested in the lab each month?",baseline,False,False,False,False,"SELECT CAST(COUNT(T1.ID) AS REAL) / 12 FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE STRFTIME('%Y', T2.Date) = '1998' AND T1.SEX = 'M'","SELECT month(CAST(l.Date AS timestamp)) AS month, count(DISTINCT l.ID) AS male_patients
FROM laboratory l
JOIN patient p ON l.ID = p.ID
WHERE p.SEX = 'M' AND year(CAST(l.Date AS timestamp)) = 1998
GROUP BY month(CAST(l.Date AS timestamp))",COMPLETED,,VALID,0.0,0.0,1,12.0,156.049148798,12,11976,947,
1207,thrombosis_prediction,"List all patients with their sex and date of birthday, whose AST glutamic oxaloacetic transaminase (GOT) index is within normal range for loboratory examination in 1994.",baseline,True,False,False,False,"SELECT DISTINCT T1.SEX, T1.Birthday FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.GOT < 60 AND STRFTIME('%Y', T2.Date) = '1994'",,API_ERROR,MODEL_NOT_FOUND,VALID,,,97,,82.3542408943,6,6946,3385,
30,california_schools,Which cities have the top 5 lowest enrollment number for students in grades 1 through 12?,baseline,True,False,False,False,SELECT T2.City FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode GROUP BY T2.City ORDER BY SUM(T1.`Enrollment (K-12)`) ASC LIMIT 5,SELECT T1.City FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode GROUP BY T1.City ORDER BY SUM(T2.`Enrollment (K-12)`) ASC LIMIT 5,COMPLETED,,VALID,0.0,0.0,5,5.0,72.0802059174,6,5298,293,
250,toxicology,"Of all the carcinogenic molecules, which one has the most double bonds?",baseline,False,False,False,False,"SELECT T.molecule_id FROM ( SELECT T3.molecule_id, COUNT(T1.bond_type) FROM bond AS T1 INNER JOIN molecule AS T3 ON T1.molecule_id = T3.molecule_id WHERE T3.label = '+' AND T1.bond_type = '=' GROUP BY T3.molecule_id ORDER BY COUNT(T1.bond_type) DESC LIMIT 1 ) AS T",,MODEL_ERROR,,NOT_EXECUTED,0.0,0.0,1,,555.2236397266,2,581,14,
251,toxicology,What is the least common element of all carcinogenic molecules?,baseline,False,True,False,False,"SELECT T.element FROM ( SELECT T2.element, COUNT(DISTINCT T2.molecule_id) FROM molecule AS T1 INNER JOIN atom AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.label = '+' GROUP BY T2.element ORDER BY COUNT(DISTINCT T2.molecule_id) LIMIT 1 ) t","SELECT element, COUNT(DISTINCT molecule_id) as cnt FROM atom WHERE molecule_id IN (SELECT molecule_id FROM molecule WHERE label = '+') AND element IN ('f', 'y', 'cu', 'zn') GROUP BY element",COMPLETED,,VALID,0.0,0.0,1,4.0,312.4482457638,24,22335,954,
1234,thrombosis_prediction,"List the patient ID, sex and birthday who has abnormal white blood cell count. Group them by sex and list the patient by age in ascending order.",baseline,False,False,False,False,"SELECT DISTINCT T1.ID, T1.SEX, T1.Birthday FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.WBC <= 3.5 OR T2.WBC >= 9.0 GROUP BY T1.SEX,T1.ID ORDER BY T1.Birthday ASC","SELECT p.ID, p.SEX, p.Birthday FROM patient p JOIN laboratory l ON p.ID = l.ID WHERE l.WBC < 4.0 OR l.WBC > 9.0 GROUP BY p.SEX, p.Birthday, p.ID ORDER BY p.SEX, p.Birthday ASC",COMPLETED,,VALID,0.0,0.0,236,247.0,207.4598517418,16,18753,1168,
1388,student_club,Which students manage to generate the highest income. State his/her full name along with the income source.,baseline,True,False,False,False,"SELECT T1.first_name, T1.last_name, T2.source FROM member AS T1 INNER JOIN income AS T2 ON T1.member_id = T2.link_to_member GROUP BY T1.first_name, T1.last_name, T2.source ORDER BY SUM(T2.amount) DESC LIMIT 1","SELECT T1.first_name, T1.last_name, T2.source, SUM(T2.amount) AS total_amount FROM member AS T1 JOIN income AS T2 ON T1.member_id = T2.link_to_member GROUP BY T1.first_name, T1.last_name, T2.source ORDER BY total_amount DESC",COMPLETED,,VALID,0.0,0.0,1,31.0,155.0134444237,12,12492,874,
